,CORRELATION_ID,IDENTIFIER_1,VERSION_NUMBER_1,VERSION_DATE_1,IDENTIFIER_2,VERSION_NUMBER_2,VERSION_DATE_2,CONFIDENCE
31453,BLPU_906700362606_TopographicArea_osgb1000040410574_5,906700362606,,20200226000000,osgb1000040410574,3,20100429000000,Version information is correct
31488,BLPU_906700406204_TopographicArea_osgb1000002038515043_5,906700406204,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
31766,BLPU_906700084162_TopographicArea_osgb1000040412147_5,906700084162,,20160210000000,osgb1000040412147,8,20090820000000,Version information is correct
64556,BLPU_906700090470_TopographicArea_osgb1000040412275_5,906700090470,,20160210000000,osgb1000040412275,11,20150624000000,Version information is correct
110466,BLPU_906700439499_TopographicArea_osgb1000040412156_5,906700439499,,20161127000000,osgb1000040412156,7,20080210000000,Version information is correct
110475,BLPU_906700501507_TopographicArea_osgb1000040410591_5,906700501507,,20200226000000,osgb1000040410591,4,20150201000000,Version information is correct
143321,BLPU_906700368465_TopographicArea_osgb1000002038487482_5,906700368465,,20160506000000,osgb1000002038487482,14,20080210000000,Version information is correct
183183,BLPU_906700406174_TopographicArea_osgb1000002038515043_5,906700406174,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
235159,BLPU_906700084047_TopographicArea_osgb1000040412136_5,906700084047,,20160210000000,osgb1000040412136,12,20150624000000,Version information is correct
379446,BLPU_906700326208_TopographicArea_osgb1000040410595_5,906700326208,,20200226000000,osgb1000040410595,13,20180910000000,Version information is correct
379712,BLPU_906700005920_TopographicArea_osgb1000040412199_5,906700005920,,20200226000000,osgb1000040412199,11,20150507000000,Version information is correct
178839,BLPU_906700406173_TopographicArea_osgb1000002038515043_5,906700406173,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
178840,BLPU_906700406268_TopographicArea_osgb1000002038515128_5,906700406268,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
178851,BLPU_906700419689_TopographicArea_osgb1000002038515128_5,906700419689,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
178867,BLPU_906700439501_TopographicArea_osgb1000040412156_5,906700439501,,20161127000000,osgb1000040412156,7,20080210000000,Version information is correct
178873,BLPU_906700495664_TopographicArea_osgb1000040412199_5,906700495664,,20200226000000,osgb1000040412199,11,20150507000000,Version information is correct
178877,BLPU_906700501512_TopographicArea_osgb1000040410591_5,906700501512,,20200226000000,osgb1000040410591,4,20150201000000,Version information is correct
296944,BLPU_906700090468_TopographicArea_osgb1000040412275_5,906700090468,,20160210000000,osgb1000040412275,11,20150624000000,Version information is correct
336431,BLPU_906700439473_TopographicArea_osgb1000040412156_5,906700439473,,20200202000000,osgb1000040412156,7,20080210000000,Version information is correct
336542,BLPU_906700006145_TopographicArea_osgb1000002038248922_5,906700006145,,20160210000000,osgb1000002038248922,6,20080210000000,Version information is correct
51676,BLPU_906700402408_TopographicArea_osgb1000002038441601_5,906700402408,,20160210000000,osgb1000002038441601,2,20051226000000,Version information is correct
135329,BLPU_906700501470_TopographicArea_osgb1000040410591_5,906700501470,,20200226000000,osgb1000040410591,4,20150201000000,Version information is correct
135511,BLPU_906700053915_TopographicArea_osgb1000040412169_5,906700053915,,20200226000000,osgb1000040412169,6,20080210000000,Version information is correct
177039,BLPU_906700084146_TopographicArea_osgb1000040412136_5,906700084146,,20200329000000,osgb1000040412136,12,20150624000000,Version information is correct
368740,BLPU_906700439489_TopographicArea_osgb1000040412156_5,906700439489,,20160210000000,osgb1000040412156,7,20080210000000,Version information is correct
14084,BLPU_906700406179_TopographicArea_osgb1000002038515043_5,906700406179,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
14086,BLPU_906700406350_TopographicArea_osgb1000002038515128_5,906700406350,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
14399,BLPU_906700115059_TopographicArea_osgb1000040412156_5,906700115059,,20161127000000,osgb1000040412156,7,20080210000000,Version information is correct
38252,BLPU_906700406323_TopographicArea_osgb1000002038515128_5,906700406323,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
38253,BLPU_906700406357_TopographicArea_osgb1000002038515128_5,906700406357,,20200226000000,osgb1000002038515128,4,20080210000000,Version information is correct
